En,NUM,ENTRY,REP,k,ER,PH,GY
1,424,NEC033,2,NEC0332,0.87,13.5,930.59
1,812,NEC033,3,NEC0333,0.93,14.4,1241.45
1,34,NEC034,1,NEC0341,0.4,12.9,105.24
1,425,NEC034,2,NEC0342,0.83,12.23,253.56
1,813,NEC034,3,NEC0343,0.97,16.27,62.02
1,35,NEC035,1,NEC0351,0.73,16.5,821.91
1,426,NEC035,2,NEC0352,0.8,14.4,1193.06
1,814,NEC035,3,NEC0353,0.8,13.67,1318.09
1,36,NEC037,1,NEC0371,1,22,262.44
1,427,NEC037,2,NEC0372,1,19,972.99
1,815,NEC037,3,NEC0373,0.97,17.73,1089.18
1,37,NEC038,1,NEC0381,0.67,14.67,92.37
1,428,NEC038,2,NEC0382,0.7,13.77,154.64
1,816,NEC038,3,NEC0383,0.93,15.33,217.98
1,38,NEC039,1,NEC0391,0.73,12.67,644.25
1,429,NEC039,2,NEC0392,0.5,9.57,302.94
1,817,NEC039,3,NEC0393,0.73,10.83,222.21
1,39,NEC040,1,NEC0401,0.93,15.77,222.15
1,40,NEC041,1,NEC0411,0.5,18.93,429.02
1,430,NEC041,2,NEC0412,0.73,17.03,654.55
1,818,NEC041,3,NEC0413,0.8,18.17,.
1,41,NEC042.1,1,NEC042.11,0.7,18.03,675.13
1,431,NEC042.1,2,NEC042.12,0.77,15.73,904.57
1,819,NEC042.1,3,NEC042.13,0.87,16.83,597.84
1,390,NEC042.2,1,NEC042.21,0.8,16.07,480.22
1,778,NEC042.2,2,NEC042.22,0.87,15.87,401.59
1,1162,NEC042.2,3,NEC042.23,0.8,13.2,575.89
1,42,NEC043,1,NEC0431,0.03,11.75,.
1,432,NEC043,2,NEC0432,NA,NA,.
1,820,NEC043,3,NEC0433,0,NA,.
1,43,NEC044,1,NEC0441,0.93,23.5,.
1,433,NEC044,2,NEC0442,1,19.17,.
1,821,NEC044,3,NEC0443,0.9,18.97,1681.4
1,44,NEC045,1,NEC0451,0.83,17.13,89.27
1,434,NEC045,2,NEC0452,0.97,16.43,286.62
1,822,NEC045,3,NEC0453,1,17.83,459.57
1,45,NEC046,1,NEC0461,0.93,15.53,696.7
1,435,NEC046,2,NEC0462,0.97,14.53,827.84
1,823,NEC046,3,NEC0463,0.97,14.7,592.97
1,46,NEC047,1,NEC0471,0.73,15.4,199
1,436,NEC047,2,NEC0472,0.73,16.2,328.31
1,824,NEC047,3,NEC0473,0.7,13.63,549.45
1,47,NEC048,1,NEC0481,0.9,19,452.08
1,437,NEC048,2,NEC0482,0.93,15.97,944.54
1,825,NEC048,3,NEC0483,0.97,16.5,994.25
1,48,NEC049,1,NEC0491,0.5,11.67,140.05
1,438,NEC049,2,NEC0492,0.83,12.23,33.55
1,826,NEC049,3,NEC0493,0.66,12.5,57.59
1,49,NEC050,1,NEC0501,0.87,17.6,510.03
1,439,NEC050,2,NEC0502,0.9,16.2,932.04
1,827,NEC050,3,NEC0503,0.93,17.23,.
1,50,NEC051,1,NEC0511,0.7,16.8,.
1,440,NEC051,2,NEC0512,0.9,16.8,716.33
1,828,NEC051,3,NEC0513,0.87,14.9,840.94
1,51,NEC052,1,NEC0521,0.73,15.9,319.11
1,441,NEC052,2,NEC0522,0.9,16.57,841.5
1,829,NEC052,3,NEC0523,0.97,16.8,1017.04
1,52,NEC053,1,NEC0531,0.83,17.9,398.07
1,442,NEC053,2,NEC0532,0.9,15.47,753.42
1,830,NEC053,3,NEC0533,0.9,18.17,958.51
1,53,NEC055,1,NEC0551,0.8,20,949.35
1,443,NEC055,2,NEC0552,0.63,9.8,153.74
1,831,NEC055,3,NEC0553,0.67,12.33,524.83
1,54,NEC056,1,NEC0561,0.33,12.63,.
1,444,NEC056,2,NEC0562,0.63,11.6,.
1,832,NEC056,3,NEC0563,0.4,11.33,693.17
1,55,NEC057,1,NEC0571,0.53,17.63,243.86
1,445,NEC057,2,NEC0572,0.93,10.17,436.39
1,833,NEC057,3,NEC0573,0.83,15.33,597.97
1,56,NEC058,1,NEC0581,0.33,14.37,84.85
1,446,NEC058,2,NEC0582,0.37,11.8,570.72
1,834,NEC058,3,NEC0583,0.47,12.23,675.9
1,57,NEC059,1,NEC0591,0.6,17.73,432.55
1,447,NEC059,2,NEC0592,0.5,11.5,881.89
1,835,NEC059,3,NEC0593,0.9,15.97,819.19
1,58,NEC060,1,NEC0601,0.9,18.2,.
1,448,NEC060,2,NEC0602,0.9,16.23,895.55
1,836,NEC060,3,NEC0603,0.93,17.63,989.47
1,59,NEC061,1,NEC0611,0.8,16.93,524.67
1,449,NEC061,2,NEC0612,0.53,13.83,873.97
