En,NUM,ENTRY,REP,k,ER,PH,GY
1,552,NEC166,2,NEC1662,0.63,15.4,666.61
1,940,NEC166,3,NEC1663,0.67,12.1,902.45
1,164,NEC167,1,NEC1671,0.63,12.97,381.2
1,553,NEC167,2,NEC1672,0.7,15.5,513.01
1,941,NEC167,3,NEC1673,0.63,12.03,348.74
1,165,NEC168,1,NEC1681,0.8,21.4,.
1,554,NEC168,2,NEC1682,0.8,18.17,.
1,942,NEC168,3,NEC1683,0.73,10.87,178.42
1,166,NEC169,1,NEC1691,0.9,17,308.7
1,555,NEC169,2,NEC1692,0.87,15.5,342.82
1,943,NEC169,3,NEC1693,0.97,17.43,98.29
1,167,NEC170,1,NEC1701,0.97,18.3,555.83
1,556,NEC170,2,NEC1702,0.97,16.5,478.34
1,944,NEC170,3,NEC1703,0.97,18.77,405.26
1,168,NEC171,1,NEC1711,0.63,15.33,224
1,557,NEC171,2,NEC1712,0.97,14.97,452.01
1,945,NEC171,3,NEC1713,0.7,11.5,411.64
1,169,NEC172,1,NEC1721,0.8,21.03,.
1,558,NEC172,2,NEC1722,0.93,16.17,422.54
1,946,NEC172,3,NEC1723,0.93,14.3,279.15
1,170,NEC173,1,NEC1731,0.9,17.33,239.1
1,559,NEC173,2,NEC1732,0.47,15.4,319.41
1,947,NEC173,3,NEC1733,0.97,15.2,461.25
1,171,NEC174,1,NEC1741,0.93,19.7,706.25
1,560,NEC174,2,NEC1742,0.86,17.5,529.49
1,948,NEC174,3,NEC1743,0.97,17.07,712.56
1,172,NEC175,1,NEC1751,0.73,12.77,1000.73
1,561,NEC175,2,NEC1752,0.6,10.67,357.19
1,173,NEC176,1,NEC1761,0.6,15.87,433.9
1,562,NEC176,2,NEC1762,0.53,16.07,336.71
1,949,NEC176,3,NEC1763,0.8,16.5,361.79
1,174,NEC177,1,NEC1771,0.93,18.93,691.67
1,563,NEC177,2,NEC1772,0.93,18.73,668.97
1,950,NEC177,3,NEC1773,0.9,20.5,1191.23
1,175,NEC178,1,NEC1781,0.97,19.87,.
1,564,NEC178,2,NEC1782,0.93,18.67,.
1,176,NEC179,1,NEC1791,0.87,20,518.49
1,565,NEC179,2,NEC1792,0.97,18.17,96.05
1,951,NEC179,3,NEC1793,0.83,17.27,502.55
1,177,NEC180,1,NEC1801,0.63,18.17,783.02
1,566,NEC180,2,NEC1802,0.77,19.5,361.8
1,952,NEC180,3,NEC1803,0.73,17.93,1168.51
1,178,NEC181,1,NEC1811,0.8,20.67,877.9
1,567,NEC181,2,NEC1812,0.93,20.9,607.6
1,953,NEC181,3,NEC1813,1,19.1,426.96
1,179,NEC182,1,NEC1821,0.9,17.5,591.45
1,568,NEC182,2,NEC1822,0.97,16.47,528.89
1,954,NEC182,3,NEC1823,0.83,17.37,639.33
1,180,NEC183,1,NEC1831,0.87,20.37,901.47
1,569,NEC183,2,NEC1832,0.9,18,785.12
1,955,NEC183,3,NEC1833,0.8,16.33,555.07
1,181,NEC184,1,NEC1841,0.3,17.03,347.45
1,570,NEC184,2,NEC1842,0.23,17,211.26
1,956,NEC184,3,NEC1843,0.7,16.67,549.79
1,182,NEC185,1,NEC1851,0.77,18.33,346.59
1,571,NEC185,2,NEC1852,0.9,15.03,219.26
1,957,NEC185,3,NEC1853,0.67,10.13,369.15
1,183,NEC186,1,NEC1861,0.87,18.33,1038.02
1,572,NEC186,2,NEC1862,0.8,18.17,796.1
1,958,NEC186,3,NEC1863,0.97,15.93,895.72
1,184,NEC187,1,NEC1871,0.43,17.9,537.98
1,573,NEC187,2,NEC1872,0.5,10.77,674.88
1,959,NEC187,3,NEC1873,0.2,5.1,352.63
1,185,NEC188,1,NEC1881,0.73,17.47,652.9
1,574,NEC188,2,NEC1882,0.93,16.83,491.52
1,960,NEC188,3,NEC1883,0.9,13.77,1141.66
1,186,NEC189,1,NEC1891,0.77,15.5,.
1,575,NEC189,2,NEC1892,0.73,16.17,703.69
1,961,NEC189,3,NEC1893,0.33,14.27,978.16
1,187,NEC190,1,NEC1901,0.72,17.5,655.39
1,576,NEC190,2,NEC1902,0.5,14.77,367.23
1,962,NEC190,3,NEC1903,0.5,16.5,593.82
1,188,NEC191,1,NEC1911,0.93,19.8,.
1,577,NEC191,2,NEC1912,0.73,16.07,.
1,963,NEC191,3,NEC1913,0.7,14.67,181.35
1,189,NEC192,1,NEC1921,0.9,17.9,679.28
1,578,NEC192,2,NEC1922,0.87,18.53,.
1,964,NEC192,3,NEC1923,0.97,18.4,.
1,190,NEC193,1,NEC1931,0.77,15.7,681.71
1,579,NEC193,2,NEC1932,0.97,16.33,519.85
1,965,NEC193,3,NEC1933,0.93,16.7,1001.98
1,191,NEC194,1,NEC1941,0.63,19.1,692.05
1,580,NEC194,2,NEC1942,0.83,18.17,478.28
1,966,NEC194,3,NEC1943,0.63,14.67,668.97
1,192,NEC195,1,NEC1951,0.57,12.9,101.45
1,581,NEC195,2,NEC1952,0.73,13.9,26.71
1,967,NEC195,3,NEC1953,0.67,13.17,130.24
1,193,NEC196,1,NEC1961,0.4,11.43,489.64
1,582,NEC196,2,NEC1962,0.67,15.73,218.11
1,968,NEC196,3,NEC1963,0.6,13.33,702.82
1,194,NEC197,1,NEC1971,0.73,18.5,.
1,583,NEC197,2,NEC1972,0.87,14.67,1038.48
1,969,NEC197,3,NEC1973,0.73,18.27,.
1,195,NEC198,1,NEC1981,0.9,17.1,.
1,584,NEC198,2,NEC1982,0.83,16.97,.
1,970,NEC198,3,NEC1983,0.97,15.1,928.73
1,196,NEC199,1,NEC1991,0.5,17.37,345.77
1,585,NEC199,2,NEC1992,0.27,15.33,.
1,971,NEC199,3,NEC1993,0.6,18.2,170.02
1,197,NEC200,1,NEC2001,0.8,14.5,481.38
1,586,NEC200,2,NEC2002,0.87,13.9,170.3
1,972,NEC200,3,NEC2003,0.96,15.13,595.83
1,198,NEC201,1,NEC2011,0.6,11.23,575.75
1,587,NEC201,2,NEC2012,0.37,12.43,37.74
1,973,NEC201,3,NEC2013,0.43,12.33,347.6
1,199,NEC202,1,NEC2021,1,18.07,.
1,588,NEC202,2,NEC2022,0.83,12.9,464.19
1,974,NEC202,3,NEC2023,0.9,11.7,.
1,200,NEC203,1,NEC2031,0.93,15.17,979.33
1,589,NEC203,2,NEC2032,0.63,13.43,239.32
1,975,NEC203,3,NEC2033,0.8,12.6,11.42
1,201,NEC204,1,NEC2041,0.93,14.7,521.95
1,590,NEC204,2,NEC2042,0.89,13.53,298.33
1,976,NEC204,3,NEC2043,0.6,13.03,218.32
1,202,NEC205,1,NEC2051,1,19.17,636.69
1,591,NEC205,2,NEC2052,0.87,15.33,.
1,977,NEC205,3,NEC2053,0.6,13.7,294.13
1,203,NEC206,1,NEC2061,0.87,14.1,115.08
1,592,NEC206,2,NEC2062,0.77,13.47,79.58
1,978,NEC206,3,NEC2063,0.53,11.43,61.38
1,204,NEC207,1,NEC2071,0.87,13,305.83
1,593,NEC207,2,NEC2072,0.9,14,327.56
1,979,NEC207,3,NEC2073,0.77,12.2,447.46
1,205,NEC208,1,NEC2081,0.2,11.13,323.85
1,594,NEC208,2,NEC2082,NA,NA,.
1,980,NEC208,3,NEC2083,0.07,5.35,65.52
1,206,NEC209,1,NEC2091,0.97,18.3,.
1,595,NEC209,2,NEC2092,0.87,14.83,399.09
1,981,NEC209,3,NEC2093,0.9,15.37,612.45
1,207,NEC210,1,NEC2101,0,0,.
1,596,NEC210,2,NEC2102,NA,NA,.
1,982,NEC210,3,NEC2103,0.03,13.5,131.65
1,208,NEC211,1,NEC2111,0.9,18.07,1022.54
1,597,NEC211,2,NEC2112,0.83,16.5,998.67
1,983,NEC211,3,NEC2113,0.8,15.87,792.48
1,209,NEC212,1,NEC2121,0.87,16.3,127.2
1,598,NEC212,2,NEC2122,0.9,18.2,412.54
1,984,NEC212,3,NEC2123,0.83,11.73,364.35
1,210,NEC213,1,NEC2131,0.9,15.77,750.92
1,599,NEC213,2,NEC2132,0.97,16.4,1277.72
1,985,NEC213,3,NEC2133,0.77,13.1,1052.91
1,211,NEC214,1,NEC2141,0.86,18.9,277.2
1,600,NEC214,2,NEC2142,0.87,16.83,424.01
1,986,NEC214,3,NEC2143,0.63,15.73,724.57
1,212,NEC215,1,NEC2151,0.8,15.57,427.62
1,601,NEC215,2,NEC2152,0.73,15.83,549.73
1,987,NEC215,3,NEC2153,0.73,13.33,1247.04
1,213,NEC216,1,NEC2161,0.9,16.7,526.6
1,602,NEC216,2,NEC2162,0.87,17.4,770.9
1,988,NEC216,3,NEC2163,0.93,16.23,959.54
1,214,NEC217,1,NEC2171,0.73,15.17,.
1,603,NEC217,2,NEC2172,0.6,16.6,291.94
1,989,NEC217,3,NEC2173,0.73,13.27,506.97
1,215,NEC218,1,NEC2181,0.53,16.63,623.89
1,604,NEC218,2,NEC2182,0.5,17.17,483.59
1,990,NEC218,3,NEC2183,0.43,13.57,.
1,216,NEC219,1,NEC2191,1,18.9,.
1,605,NEC219,2,NEC2192,0.93,22.5,.
1,991,NEC219,3,NEC2193,0.93,17.6,.
1,217,NEC220,1,NEC2201,0.83,15.5,150.32
1,606,NEC220,2,NEC2202,0.83,14.13,31.51
1,992,NEC220,3,NEC2203,1,12.6,253.33
1,218,NEC221,1,NEC2211,0.93,15.07,429.62
1,607,NEC221,2,NEC2212,0.73,14.27,816.22
1,993,NEC221,3,NEC2213,0.97,12.57,856.89
1,219,NEC222,1,NEC2221,0.71,18.07,395.03
1,608,NEC222,2,NEC2222,0.47,17.07,640.49
1,1161,NEC222,3,NEC2223,0.7,17.57,507.95
1,220,NEC223,1,NEC2231,0.97,19.23,758.24
1,609,NEC223,2,NEC2232,0.87,15.73,828
1,994,NEC223,3,NEC2233,0.87,15.73,1199
1,221,NEC224,1,NEC2241,0.97,16.2,243.16
1,610,NEC224,2,NEC2242,0.93,15.9,559.46
1,995,NEC224,3,NEC2243,0.9,14.53,705.7
1,222,NEC225,1,NEC2251,0.53,16.67,159.91
1,611,NEC225,2,NEC2252,0.57,14.57,337.11
1,996,NEC225,3,NEC2253,0.77,14.13,615.28
1,223,NEC226,1,NEC2261,0.47,12.67,448.68
1,612,NEC226,2,NEC2262,0.9,14.23,323.11
1,997,NEC226,3,NEC2263,0.67,13.57,485.04
1,224,NEC227,1,NEC2271,0.7,15.57,201.57
1,613,NEC227,2,NEC2272,0.57,14.83,221.92
1,998,NEC227,3,NEC2273,0.83,13.1,150.78
1,225,NEC228,1,NEC2281,0.97,16.4,1029.14
1,614,NEC228,2,NEC2282,0.93,16.33,986.19
1,999,NEC228,3,NEC2283,0.93,15.6,1544.09
1,226,NEC229,1,NEC2291,0.9,18.57,549.46
1,615,NEC229,2,NEC2292,0.9,15.8,632.06
1,1000,NEC229,3,NEC2293,0.89,13,427.43
1,227,NEC230,1,NEC2301,0.8,13.83,99.72
1,616,NEC230,2,NEC2302,0.87,12.93,327.2
1,1001,NEC230,3,NEC2303,0.8,10.17,330.08
1,228,NEC231,1,NEC2311,0.9,14.6,384.02
1,617,NEC231,2,NEC2312,0.87,13.77,579.68
1,1002,NEC231,3,NEC2313,0.93,13.17,543.52
1,229,NEC232,1,NEC2321,0.6,16.97,779.24
1,618,NEC232,2,NEC2322,0.67,15.83,694.43
1,1003,NEC232,3,NEC2323,0.6,11.93,766.58
1,230,NEC233,1,NEC2331,0.43,11.53,357.85
1,619,NEC233,2,NEC2332,0.57,13.4,655.5
1,1004,NEC233,3,NEC2333,0.38,9.27,604.4
1,231,NEC234,1,NEC2341,0.93,18.13,778.12
1,620,NEC234,2,NEC2342,0.87,14.83,824.96
1,1005,NEC234,3,NEC2343,0.8,15.53,769.06
1,232,NEC235,1,NEC2351,0.57,13.3,194.05
1,621,NEC235,2,NEC2352,0.87,16.6,544.63
1,1006,NEC235,3,NEC2353,0.87,18.7,602.93
1,233,NEC236,1,NEC2361,0.93,15.47,439.85
1,622,NEC236,2,NEC2362,0.83,15.6,622.89
1,1007,NEC236,3,NEC2363,0.83,13.83,500.95
1,234,NEC237,1,NEC2371,1,16,442.69
1,623,NEC237,2,NEC2372,0.87,19,357.69
1,1008,NEC237,3,NEC2373,0.93,14.17,685.88
1,235,NEC238,1,NEC2381,1,17.83,733.29
1,624,NEC238,2,NEC2382,0.97,16.83,430.3
1,1009,NEC238,3,NEC2383,0.93,17.5,979.53
1,236,NEC239,1,NEC2391,0.87,12.73,91.92
1,625,NEC239,2,NEC2392,0.8,15.53,146.78
1,1010,NEC239,3,NEC2393,0.9,11.1,182.25
1,237,NEC240,1,NEC2401,0.93,15.37,345.24
1,626,NEC240,2,NEC2402,0.87,15.5,261.65
1,1011,NEC240,3,NEC2403,0.93,15.5,447.48
1,238,NEC241,1,NEC2411,0.6,18.7,308.13
1,627,NEC241,2,NEC2412,0.8,16.83,355.66
1,1012,NEC241,3,NEC2413,0.93,16.73,417.46
1,239,NEC242,1,NEC2421,0.9,16.23,632.4
1,628,NEC242,2,NEC2422,0.97,14.73,860.53
1,1013,NEC242,3,NEC2423,0.57,12.87,527.47
1,240,NEC243,1,NEC2431,1,16.83,265.29
1,629,NEC243,2,NEC2432,1,14.9,476.51
1,1014,NEC243,3,NEC2433,0.97,14.7,469.15
1,241,NEC244,1,NEC2441,1,15.57,307
1,630,NEC244,2,NEC2442,0.93,15.47,469.3
1,1015,NEC244,3,NEC2443,1.04,15.93,586.54
1,242,NEC245,1,NEC2451,0.8,14.03,329.52
1,631,NEC245,2,NEC2452,0.74,15.03,99.45
1,1016,NEC245,3,NEC2453,1.08,13.27,425.34
1,243,NEC246,1,NEC2461,0.93,11.6,.
1,632,NEC246,2,NEC2462,0.87,15.17,160.79
1,1017,NEC246,3,NEC2463,0.67,14.17,572.47
1,244,NEC247,1,NEC2471,0.76,16.8,.
1,633,NEC247,2,NEC2472,0.64,15,246.71
1,1018,NEC247,3,NEC2473,0.9,15,.
1,245,NEC248,1,NEC2481,0.73,15.6,247.03
1,634,NEC248,2,NEC2482,0.63,14.67,308.8
1,1019,NEC248,3,NEC2483,0.8,10.43,375.34
1,246,NEC249,1,NEC2491,0.9,16.13,839.54
1,635,NEC249,2,NEC2492,0.93,16.67,1458.66
1,1020,NEC249,3,NEC2493,0.57,18.73,1507.66
1,247,NEC250,1,NEC2501,0.9,15.33,579.25
1,636,NEC250,2,NEC2502,0.97,13,295.71
1,1021,NEC250,3,NEC2503,0.9,13.67,451.59
1,248,NEC251,1,NEC2511,0.83,14.33,93.61
1,637,NEC251,2,NEC2512,0.8,11,23.6
1,1022,NEC251,3,NEC2513,0.93,14.57,405.64
1,249,NEC252,1,NEC2521,0.89,14.4,393.07
1,638,NEC252,2,NEC2522,0.87,13.83,538.46
1,1023,NEC252,3,NEC2523,0.7,13.03,673.74
1,250,NEC253,1,NEC2531,0.9,12.87,.
1,639,NEC253,2,NEC2532,0.72,13.77,177.17
1,1024,NEC253,3,NEC2533,0.73,13.53,381.47
1,251,NEC254,1,NEC2541,0.73,16.8,508.72
1,640,NEC254,2,NEC2542,0.6,9.83,413.37
1,1025,NEC254,3,NEC2543,0.63,16.2,986.1
1,252,NEC255,1,NEC2551,0.9,13.5,345.13
1,641,NEC255,2,NEC2552,0.83,13.83,352.99
1,1026,NEC255,3,NEC2553,0.57,12.3,603.19
1,253,NEC256,1,NEC2561,0.93,13.33,630.33
1,642,NEC256,2,NEC2562,0.8,12.63,538.87
1,1027,NEC256,3,NEC2563,0.93,12.03,949.35
1,254,NEC258,1,NEC2581,0.47,15,478.69
1,643,NEC258,2,NEC2582,0.13,12.75,134.62
1,1028,NEC258,3,NEC2583,0.23,9.93,163.22
1,255,NEC259,1,NEC2591,0.7,15.8,483.94
1,644,NEC259,2,NEC2592,0.38,17.33,.
1,1029,NEC259,3,NEC2593,0.52,18.37,881.61
1,256,NEC260,1,NEC2601,0.83,17.83,330.84
1,645,NEC260,2,NEC2602,0.87,13.17,323.18
1,1030,NEC260,3,NEC2603,0.83,16.33,250.07
1,257,NEC261,1,NEC2611,0.97,13.43,542.18
1,646,NEC261,2,NEC2612,0.83,17,780.8
1,1031,NEC261,3,NEC2613,1,14.27,630.99
1,258,NEC263,1,NEC2631,0.83,12.9,273.99
1,647,NEC263,2,NEC2632,0.8,15.83,303.06
1,1032,NEC263,3,NEC2633,0.96,16,.
1,259,NEC264,1,NEC2641,0.93,13.07,.
1,648,NEC264,2,NEC2642,0.9,13,494.29
1,1033,NEC264,3,NEC2643,1,12.97,634.72
1,260,NEC265,1,NEC2651,0.8,14.5,357.88
1,649,NEC265,2,NEC2652,0.57,12,337.42
1,1034,NEC265,3,NEC2653,0.8,10.83,357.17
1,261,NEC266,1,NEC2661,0.97,14.73,204.69
1,650,NEC266,2,NEC2662,0.9,14.37,274.43
1,1035,NEC266,3,NEC2663,0.97,13.77,365.44
1,262,NEC267,1,NEC2671,0.93,14.9,182.35
1,651,NEC267,2,NEC2672,0.83,15.43,494.75
1,1036,NEC267,3,NEC2673,0.87,15.23,299.47
1,263,NEC268,1,NEC2681,0.9,15.37,813.77
1,652,NEC268,2,NEC2682,0.87,16.4,1385
1,1037,NEC268,3,NEC2683,0.8,16,657.08
1,264,NEC269,1,NEC2691,0.36,10.9,73.61
1,265,NEC270,1,NEC2701,0.83,13.33,408.74
1,653,NEC270,2,NEC2702,0.77,12.5,593.08
1,1038,NEC270,3,NEC2703,0.8,12.4,311
1,266,NEC271,1,NEC2711,0.83,17.03,624.5
1,654,NEC271,2,NEC2712,0.6,15.17,579.27
1,1039,NEC271,3,NEC2713,0.77,18.27,108.89
1,267,NEC272,1,NEC2721,0.7,13.1,709.34
1,655,NEC272,2,NEC2722,0.7,14.5,1141.13
1,1040,NEC272,3,NEC2723,0.97,16.87,523.21
1,268,NEC273,1,NEC2731,0.97,12.3,287.07
1,656,NEC273,2,NEC2732,0.97,12.5,179.5
1,1041,NEC273,3,NEC2733,1,12.07,231.18
1,269,NEC274,1,NEC2741,1,14.23,304.22
1,657,NEC274,2,NEC2742,0.93,14.33,634.12
1,1042,NEC274,3,NEC2743,0.93,13.63,246.56
1,270,NEC275,1,NEC2751,0.93,15.73,114.28
1,658,NEC275,2,NEC2752,0.87,15.53,695.13
1,1043,NEC275,3,NEC2753,0.93,14.77,618.17
1,271,NEC276,1,NEC2761,0.93,13,190.98
1,659,NEC276,2,NEC2762,0.73,14.5,.
1,1044,NEC276,3,NEC2763,0.77,13.8,448.4
1,272,NEC277,1,NEC2771,0.97,15.4,708.38
1,660,NEC277,2,NEC2772,0.73,10.67,779.87
1,1045,NEC277,3,NEC2773,0.73,16.87,1017.59
1,273,NEC278.1,1,NEC278.11,0.87,12.97,54.77
1,661,NEC278.1,2,NEC278.12,0.57,12.93,260.56
1,1046,NEC278.1,3,NEC278.13,0.67,14.53,230.92
1,391,NEC278.2,1,NEC278.21,0.8,14.53,19.59
1,779,NEC278.2,2,NEC278.22,0.93,15.43,556.42
1,1163,NEC278.2,3,NEC278.23,0.93,14.23,392.31
1,274,NEC279,1,NEC2791,0.93,15.77,620.59
1,662,NEC279,2,NEC2792,0.83,11.93,666.41
1,1047,NEC279,3,NEC2793,0.97,13.1,1366.07
1,275,NEC280,1,NEC2801,0.8,14.17,195.86
1,663,NEC280,2,NEC2802,0.53,13.87,771.63
1,1048,NEC280,3,NEC2803,0.83,12.8,513.48
1,276,NEC281,1,NEC2811,0.97,14.9,216.77
1,664,NEC281,2,NEC2812,0.8,12.7,360.62
1,1049,NEC281,3,NEC2813,0.83,12.53,845.73
1,277,NEC282,1,NEC2821,1,13.6,282.12
1,665,NEC282,2,NEC2822,0.97,14.5,247.34
1,1050,NEC282,3,NEC2823,1,14.43,246.38
1,278,NEC283,1,NEC2831,0.87,12.27,312.61
1,666,NEC283,2,NEC2832,0.9,12.17,570.83
1,1051,NEC283,3,NEC2833,0.93,12.77,612.78
1,279,NEC284,1,NEC2841,0.8,14.73,507.26
1,667,NEC284,2,NEC2842,0.83,13.6,693.07
1,1052,NEC284,3,NEC2843,0.87,14.5,1064.42
1,280,NEC285,1,NEC2851,0.93,16.93,488.86
1,668,NEC285,2,NEC2852,1,14.27,266.98
1,1053,NEC285,3,NEC2853,0.83,14.2,986.21
1,281,NEC286,1,NEC2861,0.7,21.23,208.65
1,669,NEC286,2,NEC2862,0.77,16.27,541.48
1,1054,NEC286,3,NEC2863,0.77,17.8,572.15
1,282,NEC287,1,NEC2871,0.87,16.33,.
1,670,NEC287,2,NEC2872,0.93,15.97,841.82
1,1055,NEC287,3,NEC2873,0.8,14.3,803.08
1,283,NEC288,1,NEC2881,0.97,16.57,566.47
1,671,NEC288,2,NEC2882,0.97,15.97,592.82
1,1056,NEC288,3,NEC2883,0.93,16.53,912.57
1,284,NEC289,1,NEC2891,0.83,16.1,642.89
1,672,NEC289,2,NEC2892,0.73,14.73,415.59
1,1057,NEC289,3,NEC2893,0.93,15.4,799.86
1,285,NEC290,1,NEC2901,0.8,16,593.21
1,673,NEC290,2,NEC2902,0.73,15.23,337.87
1,1058,NEC290,3,NEC2903,0.87,13.57,258.38
1,286,NEC291,1,NEC2911,0.97,22.17,.
1,674,NEC291,2,NEC2912,0.77,20.67,.
1,1059,NEC291,3,NEC2913,0.9,20.47,.
1,287,NEC292,1,NEC2921,0.93,14.93,626.93
1,675,NEC292,2,NEC2922,0.83,14.83,190.12
1,1060,NEC292,3,NEC2923,0.83,13.57,284.2
1,288,NEC293,1,NEC2931,0.97,18.8,96.05
1,676,NEC293,2,NEC2932,0.83,15.27,17.01
1,1061,NEC293,3,NEC2933,0.8,15.63,271.55
1,289,NEC294,1,NEC2941,1,22.23,21378.23
1,677,NEC294,2,NEC2942,0.87,17.83,.
1,1062,NEC294,3,NEC2943,0.93,19.1,820.7
1,290,NEC295,1,NEC2951,0.93,16.23,619.91
1,678,NEC295,2,NEC2952,0.93,15.93,441.41
1,1063,NEC295,3,NEC2953,0.9,16.5,754.61
1,291,NEC296,1,NEC2961,0.83,14.5,530.57
1,679,NEC296,2,NEC2962,0.87,16.27,792.45
1,1064,NEC296,3,NEC2963,0.8,15.77,928.84
1,292,NEC297,1,NEC2971,0.96,16.9,330.1
1,680,NEC297,2,NEC2972,0.8,13.43,434.63
1,1065,NEC297,3,NEC2973,0.9,15.57,238.94
1,293,NEC298,1,NEC2981,0.97,17.2,844.39
1,681,NEC298,2,NEC2982,0.77,16.43,795.2
1,1066,NEC298,3,NEC2983,0.87,16.27,599.03
1,294,NEC299,1,NEC2991,0.9,14.4,367.56
1,682,NEC299,2,NEC2992,0.8,12.6,759.56
1,1067,NEC299,3,NEC2993,0.83,14.83,578.86
1,295,NEC300,1,NEC3001,0.77,17.87,178.32
1,683,NEC300,2,NEC3002,0.9,14.5,199.17
1,1068,NEC300,3,NEC3003,0.73,13.3,461.81
1,296,NEC301,1,NEC3011,0.93,16.07,734.47
1,684,NEC301,2,NEC3012,0.97,13.47,496.64
1,1069,NEC301,3,NEC3013,1,15.33,1001.58
1,297,NEC302,1,NEC3021,0.7,16.3,263.34
1,685,NEC302,2,NEC3022,0.83,15.37,667.99
1,1070,NEC302,3,NEC3023,0.77,14.37,582.7
1,298,NEC303,1,NEC3031,0.87,13.23,451.34
1,686,NEC303,2,NEC3032,0.9,12.17,514.19
1,1071,NEC303,3,NEC3033,0.97,13.93,439.86
1,299,NEC304,1,NEC3041,0.93,17.83,239.18
1,687,NEC304,2,NEC3042,0.93,14.8,407.95
1,1072,NEC304,3,NEC3043,0.87,16.67,552.19
1,300,NEC305,1,NEC3051,0.9,22.17,1346.24
1,688,NEC305,2,NEC3052,0.93,22.9,.
1,1073,NEC305,3,NEC3053,1.07,20.43,1690.01
1,301,NEC306,1,NEC3061,0.97,17.27,221.35
1,689,NEC306,2,NEC3062,0.87,14.7,419.98
1,1076,NEC306,3,NEC3063,0.87,16.2,515.94
1,302,NEC307,1,NEC3071,0.83,11,599.01
1,690,NEC307,2,NEC3072,0.93,13.37,893.9
1,1075,NEC307,3,NEC3073,0.37,10.03,844.14
1,303,NEC308,1,NEC3081,0.93,14.83,.
1,691,NEC308,2,NEC3082,0.93,10.83,714.73
1,1074,NEC308,3,NEC3083,0.93,10.53,679.44
1,304,NEC309,1,NEC3091,0.8,16.9,203.57
1,692,NEC309,2,NEC3092,0.7,14.1,770.46
1,1077,NEC309,3,NEC3093,0.53,15.57,901.19
1,305,NEC310,1,NEC3101,1,19.17,268.99
1,693,NEC310,2,NEC3102,0.97,15.1,289.74
1,1078,NEC310,3,NEC3103,1.03,16,379.9
1,306,NEC311,1,NEC3111,0.93,20.53,496.02
1,694,NEC311,2,NEC3112,0.7,16.47,586.3
1,1079,NEC311,3,NEC3113,0.83,15.57,357.43
1,307,NEC312,1,NEC3121,0.97,16.27,241.71
1,695,NEC312,2,NEC3122,0.83,14.57,543.91
1,1080,NEC312,3,NEC3123,0.77,15.6,410.3
1,308,NEC313,1,NEC3131,0.87,19,823.1
1,696,NEC313,2,NEC3132,0.93,17.57,1075.59
1,1081,NEC313,3,NEC3133,1,15.5,679
1,309,NEC314,1,NEC3141,0.67,17.37,574.58
1,697,NEC314,2,NEC3142,0.63,11.93,613.88
1,1082,NEC314,3,NEC3143,0.74,15.03,615.91
1,310,NEC315,1,NEC3151,0.97,20.67,916.35
1,698,NEC315,2,NEC3152,0.9,20.4,1136.1
1,1083,NEC315,3,NEC3153,1,18.03,1134.84
1,311,NEC316,1,NEC3161,0.77,20.57,978.81
1,699,NEC316,2,NEC3162,0.86,17.73,1202.1
1,1084,NEC316,3,NEC3163,0.9,18.23,1064.83
1,312,NEC317,1,NEC3171,0.93,17.57,813.48
1,700,NEC317,2,NEC3172,0.7,13.5,.
1,1085,NEC317,3,NEC3173,0.77,13.6,1027.97
1,313,NEC318,1,NEC3181,0.93,20.67,217.71
1,701,NEC318,2,NEC3182,0.9,15.5,337.24
1,1086,NEC318,3,NEC3183,0.97,18,435
1,314,NEC319,1,NEC3191,0.12,10.33,80.5
1,702,NEC319,2,NEC3192,0.8,14.43,258.78
1,1087,NEC319,3,NEC3193,0.93,15.03,357.42
1,315,NEC320,1,NEC3201,0.9,17.73,825.21
1,703,NEC320,2,NEC3202,0.9,16.97,664.42
1,316,NEC321,1,NEC3211,0.77,20.17,266.78
1,704,NEC321,2,NEC3212,0.83,13.77,463.24
1,1088,NEC321,3,NEC3213,0.86,19.33,572.29
1,317,NEC322,1,NEC3221,0.77,13.9,525.74
1,705,NEC322,2,NEC3222,0.87,12.2,828.65
1,1089,NEC322,3,NEC3223,0.93,11.2,438.82
1,318,NEC323,1,NEC3231,0.6,16.87,420.67
1,706,NEC323,2,NEC3232,0.53,15.13,579.51
1,1090,NEC323,3,NEC3233,0.77,11.77,591.91
1,319,NEC324,1,NEC3241,0.97,18.5,966.55
1,707,NEC324,2,NEC3242,1,18.4,.
1,1091,NEC324,3,NEC3243,0.9,18.87,1335.46
1,320,NEC325,1,NEC3251,0.93,16.03,541.09
1,708,NEC325,2,NEC3252,0.67,14.57,491.78
1,1092,NEC325,3,NEC3253,0.93,14.13,696.65
1,321,NEC326,1,NEC3261,0.67,17.3,243.89
1,709,NEC326,2,NEC3262,0.53,14.63,228.26
1,1093,NEC326,3,NEC3263,0.6,13.83,439.7
1,322,NEC327,1,NEC3271,1,17.2,1244.43
1,710,NEC327,2,NEC3272,0.9,15.43,1352.15
1,1094,NEC327,3,NEC3273,0.97,15.97,1341.6
1,323,NEC328,1,NEC3281,0.67,15.03,422.69
1,711,NEC328,2,NEC3282,0.57,12.1,408.08
1,1095,NEC328,3,NEC3283,0.73,12.87,.
1,324,NEC329,1,NEC3291,0.93,16.63,474.38
1,712,NEC329,2,NEC3292,0.8,11.5,188.6
1,1096,NEC329,3,NEC3293,0.83,14.03,673.47
